19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using texture size 128 x 256.  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  674
19:44:09  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using real height 17 pixels.  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  675
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
19:44:09  |  Core  |  Info  |  Gui successfully initialized  |  /build/buildd/mygui-3.2.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  133
